Incident_ID,Created_Date,Resolved_Date,SLA_Deadline,Priority,Incident_Category,Assigned_Team,Business_Unit,Status,Resolution_Time_Hours,SLA_Target_Hours,SLA_Breached,Reopened,Change_Request_Linked,Change_Request_ID,Change_Type,Caused_By_Change,Customer_Impact,Risk_Score
INC100328,2024-01-02 21:24,2024-01-05 13:04,2024-01-03 21:24,P3,Capacity Exceeded,Network Operations,Legal & Compliance,Resolved,63.68,24,True,True,No,N/A,N/A,False,Low,6.3
INC100095,2024-01-03 09:46,2024-01-04 17:12,2024-01-04 09:46,P3,Data Corruption,Identity & Access Management,Supply Chain,Closed,31.45,24,True,False,No,N/A,N/A,False,Low,6.7
INC100025,2024-01-03 12:16,2024-01-04 11:54,2024-01-06 12:16,P4,Network Outage,Database Administration,Corporate IT,Closed,23.64,72,False,False,No,N/A,N/A,False,Low,0.5
INC100586,2024-01-04 19:48,2024-01-05 02:19,2024-01-05 03:48,P2,Application Error,Database Administration,HR Operations,Closed,6.52,8,False,False,Yes,CHG200586,Normal,False,High,5.7
INC100598,2024-01-07 03:43,2024-01-09 03:40,2024-01-10 03:43,P4,Hardware Failure,DevOps Engineering,Legal & Compliance,Closed,47.97,72,False,False,No,N/A,N/A,False,Low,0.9
INC100133,2024-01-07 05:55,2024-01-08 21:08,2024-01-10 05:55,P4,Hardware Failure,Identity & Access Management,Legal & Compliance,Closed,39.23,72,False,False,Yes,CHG200133,Emergency,False,Medium,1.9
INC100019,2024-01-08 02:45,2024-01-08 05:20,2024-01-08 10:45,P2,Cloud Service Disruption,Cybersecurity Response,HR Operations,Closed,2.6,8,False,False,No,N/A,N/A,False,High,6.5
INC100384,2024-01-08 16:42,2024-01-09 16:01,2024-01-09 16:42,P3,Authentication Failure,Cloud Platform Team,Retail Banking,Resolved,23.33,24,False,False,No,N/A,N/A,False,Low,2.7
INC100502,2024-01-10 05:26,2024-01-10 14:57,2024-01-10 09:26,P1,Database Performance,Database Administration,Customer Service,Resolved,9.52,4,True,False,No,N/A,N/A,False,Medium,10.0
INC100516,2024-01-11 00:33,2024-01-12 05:18,2024-01-14 00:33,P4,Hardware Failure,Database Administration,Supply Chain,Closed,28.75,72,False,False,No,N/A,N/A,False,Low,0.5
INC100355,2024-01-12 08:13,2024-01-13 16:19,2024-01-13 08:13,P3,Capacity Exceeded,Identity & Access Management,Customer Service,Resolved,32.11,24,True,False,No,N/A,N/A,False,Medium,6.6
INC100597,2024-01-12 20:12,2024-01-13 10:17,2024-01-15 20:12,P4,Access Management,DevOps Engineering,HR Operations,Resolved,14.08,72,False,False,No,N/A,N/A,False,Low,1.3
INC100434,2024-01-14 23:16,2024-01-15 13:48,2024-01-15 23:16,P3,Access Management,DevOps Engineering,Finance,Closed,14.54,24,False,False,No,N/A,N/A,False,Low,3.4
INC100396,2024-01-15 10:48,2024-01-16 19:30,2024-01-16 10:48,P3,Cloud Service Disruption,Cybersecurity Response,Legal & Compliance,Closed,32.7,24,True,True,No,N/A,N/A,False,Medium,5.8
INC100099,2024-01-16 23:09,2024-01-20 15:58,2024-01-19 23:09,P4,Application Error,DevOps Engineering,Customer Service,Closed,88.83,72,True,True,No,N/A,N/A,False,Low,3.1
INC100521,2024-01-20 04:03,2024-01-20 11:53,2024-01-20 08:03,P1,Third-Party Integration Failure,Cybersecurity Response,Legal & Compliance,Resolved,7.83,4,True,False,No,N/A,N/A,False,High,10.0
INC100564,2024-01-20 09:55,2024-01-21 18:31,2024-01-21 09:55,P3,Batch Job Failure,Identity & Access Management,Retail Banking,Closed,32.62,24,True,False,No,N/A,N/A,False,Low,6.4
INC100039,2024-01-26 05:47,2024-01-27 20:57,2024-01-29 05:47,P4,Database Performance,Database Administration,Corporate IT,Closed,39.18,72,False,False,No,N/A,N/A,False,Low,1.5
INC100573,2024-01-27 19:39,2024-01-29 03:47,2024-01-28 19:39,P3,Application Error,Database Administration,Wealth Management,Closed,32.14,24,True,False,No,N/A,N/A,False,Medium,5.9
INC100387,2024-01-27 20:31,2024-01-28 20:37,2024-01-28 20:31,P3,Data Corruption,Identity & Access Management,Wealth Management,Resolved,24.1,24,True,False,No,N/A,N/A,False,Low,4.7
